id,name,text,trans
3004016010010,恋鐘,摩美々～、ついでにこい捨てとくね～,摩美美～、這個我順便丟掉囉～
3004016010020,摩美々,んー\nお願いー,嗯─\n麻煩了─
3004016010030,恋鐘,あ、\nこん包み紙、商店街のお弁当屋さんの～？,啊，這個包裝紙是商店街那家便當店的～？
3004016010040,恋鐘,うちも気になっとったばい！\n今月の月替わり弁当～！,我也蠻想吃的！\n這個月的每月特餐～！
3004016010050,恋鐘,小鮎とかたけのこごはん入っとって\nばりうまそうやったけど……どがんやった？,裡面放了小香魚跟野菇拌飯\n看起來超好吃的……味道如何？
3004016010060,摩美々,あー……\nまぁ、普通に美味しかったぁ,欸─…… \n嗯、還不錯吃啦
3004016010070,恋鐘,ふぇ……\nそんだけ？,欸…… \n就這樣？
3004016010080,摩美々,そんだけー,就這樣─
3004016010090,摩美々,別に、私は前から気になってて\n買ったとかじゃないしー,本來我就不是因為很想吃才特別去買的─
3004016010100,恋鐘,…………,…………
3004016010110,恋鐘,プロデューサー！\nうん、もう支度はばっちりばい～！,製作人！\n嗯，都準備好了～！
3004016010120,恋鐘,……ふぇ？,……欸？
3004016010130,恋鐘,…………ん、わかったばい\n摩美々にも伝えとくけん──,………嗯、知道了\n我再跟摩美美講一下──
3004016010140,恋鐘,次ん仕事、夕方からに変わったらしかよ,等下的工作好像改到傍晚去了喔
3004016010150,恋鐘,お迎えも遅くなるけん\n時間潰しとって～って,製作人也會晚一點來接我們，先自己打發一下時間～\n這樣
3004016010160,摩美々,えー…… マジー？,欸─……真假─？
3004016010170,摩美々,…………,…………
3004016010180,摩美々,……まぁ\nプロデューサーが来るまで待つしかないかぁ,……哀\n也就只能這樣等製作人來了吧
3004016010190,恋鐘,ん～～、そいもよかけど…………,嗯～～，雖然也可以就這樣等著………
3004016010200,恋鐘,今日はこがんよか天気ばい～？,但今天天氣那～摸好耶～？
3004016010210,恋鐘,うち、外に出ておてんとさま浴びて～\nぶらぶらしたか～,我想出去曬曬太陽～\n晃一晃～
3004016010220,摩美々,ふーん……\nいってらっしゃいー,喔……\n慢走不送—
3004016010230,恋鐘,一緒に行かん？\n事務所にこもっとったら、もったいなかけん～！,不一起來嗎？\n窩在事務所裡面很浪費欸～！
3004016010240,摩美々,えー……,欸─……
3004016010250,恋鐘,えーじゃなか、摩美々も行くばい～！\nずっとごろごろしとってもしょんなか！,欸什麼、摩美美也一起來～！\n一直耍廢也不是辦法呀！
3004016010260,恋鐘,ソファに根っこが生えてしまうばい～！\n５月ば楽しまんば～！,這樣下去會生根在沙發上喔～！\n五月就是要好好享受啊～！
3004016010270,恋鐘,ほら～！　ほらほら～！,走嘛～！走啦走啦～！
3004016010280,摩美々,うー……,哀………
3004016010290,恋鐘,んん～、気持ちよか！,嗯嗯～、好舒服喔！
3004016010300,恋鐘,風ん匂いもよかし、暑くも寒くもなかけん……\nどこまででもいけそうな気分になるばい！,風好好聞，不熱也不冷……\n感覺不管到哪都可以呢！
3004016010310,摩美々,……恋鐘はどの季節でも\nそのくらい元気だけどねー,……恋鐘不管哪個季節\n都像這樣子有精神就是了─
3004016010320,恋鐘,あ──,啊──
3004016010330,摩美々,ちょっと……\n何ー？,等等……\n怎麼了─？
3004016010340,恋鐘,ん～～～\n風ん匂いが、甘か～ってなったけん……,嗯～～～\n風的味道變甜～了起來…
3004016010350,恋鐘,……摩美々、こっち来んね！,……摩美美，過來過來！
3004016010360,摩美々,ちょっとー\nだから……,等等─\n所以…
3004016010370,恋鐘,甘か匂い、バラの香りやったと～！,甜甜的味道，是玫瑰的香味～！
3004016010380,摩美々,ふーん……,喔喔……
3004016010390,摩美々,……買うのー？,……買嗎─？
3004016010400,恋鐘,うん～、迷っとると……,嗯～，有點猶豫……
3004016010410,恋鐘,部屋の花瓶、\nこん花束にはちょっと小さか気のして……,感覺房間的花瓶\n放這種花束有點太小……
3004016010420,摩美々,あー……,啊─……
3004016010430,摩美々,まぁでも、\n必ず花瓶に入れなきゃってわけでもないしー,不過，也不一定非得要放在花瓶裡啊─
3004016010440,恋鐘,……！,……！
3004016010450,恋鐘,そうやね……！\n決めた、こい買っていくばい！,也對……！\n決定了，就買這個了！
3004016010460,恋鐘,すみませ～ん……,不好意思～……
3004016010470,摩美々,ふふー、買っちゃったねー,嘿嘿─，買了呢─
3004016010480,恋鐘,んふふ～\n事務所にもバラ飾るとよかかなって思ったけん……,嘿嘿嘿～\n想說事務所用玫瑰來裝飾也不錯……
3004016010490,恋鐘,みんなが帰ってきた時に、\nよか匂いしたら、嬉しか～ってなるやろ？,大家回來的時候\n事務所香香的，也會很開心對吧？
3004016010500,摩美々,ふーん……,嗯……
3004016010510,恋鐘,摩美々には……こい！,摩美美……這給你！
3004016010520,摩美々,……え\n何ー？,……欸\n這啥─？
3004016010530,恋鐘,んふふ～\nうちのお散歩、つきあってくれたお礼ばい！,嘿嘿～\n陪我散步的謝禮！
3004016010540,摩美々,あ、そうー,喔，原來─
3004016010550,摩美々,……帰り際に\nバラを一輪プレゼントとかぁ,……回去的路上\n送了朵玫瑰
3004016010560,恋鐘,……ふぇ？,……嗯？
3004016010570,摩美々,そっかー…………,原來啊─……
3004016010580,摩美々,……,……
3004016010590,摩美々,……まぁ、もらっとくー,……嗯，我收下了─
info,produce_events/300401601.json,,
译者,,,
